question_id,question,question_type,expected_filename,expected_document_id,expected_result,baseline_top1_document_id,baseline_top1_filename,baseline_top1_chunk_index,baseline_top1_distance,baseline_top1_hit,baseline_top3_hit,baseline_result_count,baseline_correct_reject,baseline_false_positive,rerank_top1_document_id,rerank_top1_filename,rerank_top1_chunk_index,rerank_top1_distance,rerank_top1_score,rerank_top1_hit,rerank_top3_hit,rerank_result_count,rerank_correct_reject,rerank_false_positive,status,retrieval_time_seconds,baseline_postprocess_time_seconds,baseline_total_time_seconds,rerank_time_seconds,rerank_total_time_seconds,rerank_model,embedding_model,top_k,distance_threshold,evaluated_at
1,员工请假需要提前多久申请年假？,直接问法,员工休假管理制度.docx,11,,11,员工休假管理制度.docx,0,0.4174606204032898,1,1,3,,,11,员工休假管理制度.docx,0,0.4174606204032898,0.9802749752998352,1,1,3,,,same_correct,0.013357,0.000002,0.013359,0.143715,0.157072,BAAI/bge-reranker-base,BAAI/bge-small-zh-v1.5,3,0.8,2026-08-16T09:54:10+08:00
2,病假超过一天需要提供什么材料？,直接问法,员工休假管理制度.docx,11,,11,员工休假管理制度.docx,1,0.5901859998703003,1,1,2,,,11,员工休假管理制度.docx,1,0.5901859998703003,0.9945701956748962,1,1,2,,,same_correct,0.015986,0.000003,0.015989,0.124186,0.140172,BAAI/bge-reranker-base,BAAI/bge-small-zh-v1.5,3,0.8,2026-08-16T09:54:10+08:00
3,忘记打卡后最晚多久要申请补卡？,直接问法,员工考勤管理制度.docx,14,,14,员工考勤管理制度.docx,1,0.6294233798980713,1,1,2,,,14,员工考勤管理制度.docx,1,0.6294233798980713,0.9917912483215332,1,1,2,,,same_correct,0.013050,0.000002,0.013052,0.114491,0.127540,BAAI/bge-reranker-base,BAAI/bge-small-zh-v1.5,3,0.8,2026-08-16T09:54:10+08:00
4,出差回来以后多久内要提交报销？,直接问法,差旅及费用报销制度.docx,7,,7,差旅及费用报销制度.docx,0,0.5694314241409302,1,1,3,,,7,差旅及费用报销制度.docx,1,0.5964694023132324,0.9885920882225037,1,1,3,,,same_correct,0.016182,0.000002,0.016184,0.117519,0.133701,BAAI/bge-reranker-base,BAAI/bge-small-zh-v1.5,3,0.8,2026-08-16T09:54:10+08:00
5,公司登录密码至少需要多少位？,直接问法,信息安全管理规范.docx,13,,13,信息安全管理规范.docx,0,0.6225423216819763,1,1,1,,,13,信息安全管理规范.docx,0,0.6225423216819763,0.8097504377365112,1,1,1,,,same_correct,0.016105,0.000002,0.016107,0.119222,0.135327,BAAI/bge-reranker-base,BAAI/bge-small-zh-v1.5,3,0.8,2026-08-16T09:54:10+08:00
6,我想下周一休年假，最迟什么时候要提交申请？,改写问法,员工休假管理制度.docx,11,,11,员工休假管理制度.docx,0,0.7699342966079712,1,1,1,,,11,员工休假管理制度.docx,0,0.7699342966079712,0.7778137922286987,1,1,1,,,same_correct,0.013971,0.000002,0.013973,0.130248,0.144219,BAAI/bge-reranker-base,BAAI/bge-small-zh-v1.5,3,0.8,2026-08-16T09:54:10+08:00
7,这个月已经迟到三次了，公司会怎么处理？,改写问法,员工考勤管理制度.docx,14,,14,员工考勤管理制度.docx,1,0.7368632555007935,1,1,1,,,14,员工考勤管理制度.docx,1,0.7368632555007935,0.9496288299560547,1,1,1,,,same_correct,0.011878,0.000002,0.011880,0.109145,0.121023,BAAI/bge-reranker-base,BAAI/bge-small-zh-v1.5,3,0.8,2026-08-16T09:54:10+08:00
8,去上海出差，酒店一晚上最多能报多少？,改写问法,差旅及费用报销制度.docx,7,,7,差旅及费用报销制度.docx,1,0.6903824210166931,1,1,1,,,7,差旅及费用报销制度.docx,1,0.6903824210166931,0.8683858513832092,1,1,1,,,same_correct,0.011508,0.000002,0.011510,0.118112,0.129620,BAAI/bge-reranker-base,BAAI/bge-small-zh-v1.5,3,0.8,2026-08-16T09:54:10+08:00
9,客户的产品问题处理两次还是没解决，下一步怎么办？,改写问法,产品售后服务规范.docx,12,,12,产品售后服务规范.docx,1,0.4931122660636902,1,1,2,,,12,产品售后服务规范.docx,1,0.4931122660636902,0.9935444593429565,1,1,2,,,same_correct,0.012239,0.000002,0.012240,0.120180,0.132418,BAAI/bge-reranker-base,BAAI/bge-small-zh-v1.5,3,0.8,2026-08-16T09:54:10+08:00
10,发现自己的公司账号好像被别人登录了，该怎么处理？,改写问法,信息安全管理规范.docx,13,,13,信息安全管理规范.docx,2,0.6810369491577148,1,1,3,,,13,信息安全管理规范.docx,1,0.7416949272155762,0.9104697704315186,1,1,3,,,same_correct,0.014600,0.000003,0.014604,0.126602,0.141203,BAAI/bge-reranker-base,BAAI/bge-small-zh-v1.5,3,0.8,2026-08-16T09:54:10+08:00
11,我今天早上忘打卡了，现在已经过去一天了，还能补吗？需要谁审批？,口语长问法,员工考勤管理制度.docx,14,,14,员工考勤管理制度.docx,1,0.6551393270492554,1,1,1,,,14,员工考勤管理制度.docx,1,0.6551393270492554,0.9859273433685303,1,1,1,,,same_correct,0.012539,0.000003,0.012542,0.126891,0.139430,BAAI/bge-reranker-base,BAAI/bge-small-zh-v1.5,3,0.8,2026-08-16T09:54:10+08:00
12,家里突然有急事，明天不能来上班，但来不及提前一天请事假，这种情况怎么办？,口语长问法,员工休假管理制度.docx,11,,14,员工考勤管理制度.docx,2,0.7499402165412903,0,1,2,,,11,员工休假管理制度.docx,0,0.7812633514404297,0.8306780457496643,1,1,2,,,improved,0.012810,0.000003,0.012813,0.138392,0.151202,BAAI/bge-reranker-base,BAAI/bge-small-zh-v1.5,3,0.8,2026-08-16T09:54:10+08:00
13,我刚出差回来，手里有发票和订单记录，报销的时候还需要注意什么时间要求？,口语长问法,差旅及费用报销制度.docx,7,,7,差旅及费用报销制度.docx,1,0.6623445749282837,1,1,2,,,7,差旅及费用报销制度.docx,1,0.6623445749282837,0.8758295774459839,1,1,2,,,same_correct,0.013339,0.000003,0.013341,0.120413,0.133752,BAAI/bge-reranker-base,BAAI/bge-small-zh-v1.5,3,0.8,2026-08-16T09:54:10+08:00
14,客户说设备坏了，我们已经让他做过基础检查但还是不行，客服接下来应该记录什么并交给谁？,口语长问法,产品售后服务规范.docx,12,,12,产品售后服务规范.docx,1,0.5786237716674805,1,1,2,,,12,产品售后服务规范.docx,1,0.5786237716674805,0.9911324381828308,1,1,2,,,same_correct,0.014256,0.000002,0.014258,0.131161,0.145417,BAAI/bge-reranker-base,BAAI/bge-small-zh-v1.5,3,0.8,2026-08-16T09:54:10+08:00
15,我要把一份包含客户信息的文件发给外部人员，发送前应该注意哪些安全要求？,口语长问法,信息安全管理规范.docx,13,,13,信息安全管理规范.docx,1,0.6686511039733887,1,1,2,,,13,信息安全管理规范.docx,1,0.6686511039733887,0.9839513301849365,1,1,2,,,same_correct,0.014578,0.000003,0.014581,0.128345,0.142923,BAAI/bge-reranker-base,BAAI/bge-small-zh-v1.5,3,0.8,2026-08-16T09:54:10+08:00
16,事假原则上需要提前几个工作日申请？,直接问法,员工休假管理制度.docx,11,,11,员工休假管理制度.docx,0,0.5369892120361328,1,1,3,,,11,员工休假管理制度.docx,0,0.5369892120361328,0.9750074148178101,1,1,3,,,same_correct,0.011665,0.000003,0.011668,0.127751,0.139416,BAAI/bge-reranker-base,BAAI/bge-small-zh-v1.5,3,0.8,2026-08-16T09:54:10+08:00
17,连续缺勤超过4小时且没有请假会怎么处理？,直接问法,员工考勤管理制度.docx,14,,14,员工考勤管理制度.docx,2,0.3792099356651306,1,1,3,,,14,员工考勤管理制度.docx,2,0.3792099356651306,0.9986655712127686,1,1,3,,,same_correct,0.012647,0.000004,0.012651,0.116651,0.129298,BAAI/bge-reranker-base,BAAI/bge-small-zh-v1.5,3,0.8,2026-08-16T09:54:10+08:00
18,其他城市出差住宿每晚原则上最多报销多少元？,直接问法,差旅及费用报销制度.docx,7,,7,差旅及费用报销制度.docx,1,0.3925290107727051,1,1,2,,,7,差旅及费用报销制度.docx,1,0.3925290107727051,0.9976699948310852,1,1,2,,,same_correct,0.011538,0.000002,0.011541,0.119307,0.130845,BAAI/bge-reranker-base,BAAI/bge-small-zh-v1.5,3,0.8,2026-08-16T09:54:10+08:00
19,一般售后问题要求在多长时间内首次响应？,直接问法,产品售后服务规范.docx,12,,12,产品售后服务规范.docx,0,0.5347299575805664,1,1,2,,,12,产品售后服务规范.docx,0,0.5347299575805664,0.9556829333305359,1,1,2,,,same_correct,0.011145,0.000003,0.011148,0.117265,0.128411,BAAI/bge-reranker-base,BAAI/bge-small-zh-v1.5,3,0.8,2026-08-16T09:54:10+08:00
20,公司登录密码需要包含哪些类型的字符？,直接问法,信息安全管理规范.docx,13,,13,信息安全管理规范.docx,0,0.6735951900482178,1,1,1,,,13,信息安全管理规范.docx,0,0.6735951900482178,0.4466985762119293,1,1,1,,,same_correct,0.010450,0.000003,0.010453,0.122135,0.132585,BAAI/bge-reranker-base,BAAI/bge-small-zh-v1.5,3,0.8,2026-08-16T09:54:10+08:00
21,如果一次休假超过5个工作日，除了直属负责人还需要谁确认？,改写问法,员工休假管理制度.docx,11,,11,员工休假管理制度.docx,1,0.6635714769363403,1,1,3,,,11,员工休假管理制度.docx,1,0.6635714769363403,0.9852187037467957,1,1,3,,,same_correct,0.012101,0.000002,0.012103,0.131955,0.144056,BAAI/bge-reranker-base,BAAI/bge-small-zh-v1.5,3,0.8,2026-08-16T09:54:10+08:00
22,月度考勤结果有问题，员工应该在几天内提出复核？,改写问法,员工考勤管理制度.docx,14,,14,员工考勤管理制度.docx,2,0.39862561225891113,1,1,3,,,14,员工考勤管理制度.docx,2,0.39862561225891113,0.9985480904579163,1,1,3,,,same_correct,0.011708,0.000003,0.011711,0.111772,0.123480,BAAI/bge-reranker-base,BAAI/bge-small-zh-v1.5,3,0.8,2026-08-16T09:54:10+08:00
23,因为工作需要想坐更高等级的交通工具，应该提前经过谁同意？,改写问法,差旅及费用报销制度.docx,7,,,,,,0,0,0,,,,,,,,0,0,0,,,same_wrong,0.012297,0.000002,0.012299,0.122221,0.134518,BAAI/bge-reranker-base,BAAI/bge-small-zh-v1.5,3,0.8,2026-08-16T09:54:10+08:00
