case_index,question,expected_document_id,expected_filename,top1_document_id,top1_filename,top1_chunk_index,top1_distance,top2_document_id,top2_filename,top2_chunk_index,top2_distance,top3_document_id,top3_filename,top3_chunk_index,top3_distance,top1_hit,top3_hit,result_count,status,error_type,embedding_model,vector_database,top_k,distance_threshold,evaluated_at
1,员工请假需要提前多久申请年假？,11,员工休假管理制度.docx,11,员工休假管理制度.docx,0,0.4174606204032898,14,员工考勤管理制度.docx,2,0.6604984998703003,11,员工休假管理制度.docx,1,0.7761408090591431,True,True,3,ok,,BAAI/bge-small-zh-v1.5,ChromaDB,3,0.8,2026-08-14T16:53:09+08:00
2,病假超过一天需要提供什么材料？,11,员工休假管理制度.docx,11,员工休假管理制度.docx,1,0.5901859998703003,11,员工休假管理制度.docx,0,0.7482597827911377,,,,,True,True,2,ok,,BAAI/bge-small-zh-v1.5,ChromaDB,3,0.8,2026-08-14T16:53:09+08:00
3,忘记打卡后最晚多久要申请补卡？,14,员工考勤管理制度.docx,14,员工考勤管理制度.docx,1,0.6294233798980713,14,员工考勤管理制度.docx,2,0.7653934359550476,,,,,True,True,2,ok,,BAAI/bge-small-zh-v1.5,ChromaDB,3,0.8,2026-08-14T16:53:09+08:00
4,出差回来以后多久内要提交报销？,7,差旅及费用报销制度.docx,7,差旅及费用报销制度.docx,0,0.5694314241409302,7,差旅及费用报销制度.docx,1,0.5964694023132324,14,员工考勤管理制度.docx,1,0.7083538770675659,True,True,3,ok,,BAAI/bge-small-zh-v1.5,ChromaDB,3,0.8,2026-08-14T16:53:09+08:00
5,公司登录密码至少需要多少位？,13,信息安全管理规范.docx,13,信息安全管理规范.docx,0,0.6225423216819763,,,,,,,,,True,True,1,ok,,BAAI/bge-small-zh-v1.5,ChromaDB,3,0.8,2026-08-14T16:53:09+08:00
6,我想下周一休年假，最迟什么时候要提交申请？,11,员工休假管理制度.docx,11,员工休假管理制度.docx,0,0.7699342966079712,,,,,,,,,True,True,1,ok,,BAAI/bge-small-zh-v1.5,ChromaDB,3,0.8,2026-08-14T16:53:09+08:00
7,这个月已经迟到三次了，公司会怎么处理？,14,员工考勤管理制度.docx,14,员工考勤管理制度.docx,1,0.7368632555007935,,,,,,,,,True,True,1,ok,,BAAI/bge-small-zh-v1.5,ChromaDB,3,0.8,2026-08-14T16:53:09+08:00
8,去上海出差，酒店一晚上最多能报多少？,7,差旅及费用报销制度.docx,7,差旅及费用报销制度.docx,1,0.6903824210166931,,,,,,,,,True,True,1,ok,,BAAI/bge-small-zh-v1.5,ChromaDB,3,0.8,2026-08-14T16:53:09+08:00
9,客户的产品问题处理两次还是没解决，下一步怎么办？,12,产品售后服务规范.docx,12,产品售后服务规范.docx,1,0.4931122660636902,12,产品售后服务规范.docx,0,0.66020268201828,,,,,True,True,2,ok,,BAAI/bge-small-zh-v1.5,ChromaDB,3,0.8,2026-08-14T16:53:09+08:00
10,发现自己的公司账号好像被别人登录了，该怎么处理？,13,信息安全管理规范.docx,13,信息安全管理规范.docx,2,0.6810369491577148,13,信息安全管理规范.docx,1,0.7416949272155762,13,信息安全管理规范.docx,0,0.7435240149497986,True,True,3,ok,,BAAI/bge-small-zh-v1.5,ChromaDB,3,0.8,2026-08-14T16:53:09+08:00
11,我今天早上忘打卡了，现在已经过去一天了，还能补吗？需要谁审批？,14,员工考勤管理制度.docx,14,员工考勤管理制度.docx,1,0.6551393270492554,,,,,,,,,True,True,1,ok,,BAAI/bge-small-zh-v1.5,ChromaDB,3,0.8,2026-08-14T16:53:09+08:00
12,家里突然有急事，明天不能来上班，但来不及提前一天请事假，这种情况怎么办？,11,员工休假管理制度.docx,14,员工考勤管理制度.docx,2,0.7499402165412903,11,员工休假管理制度.docx,0,0.7812633514404297,,,,,False,True,2,ok,,BAAI/bge-small-zh-v1.5,ChromaDB,3,0.8,2026-08-14T16:53:09+08:00
13,我刚出差回来，手里有发票和订单记录，报销的时候还需要注意什么时间要求？,7,差旅及费用报销制度.docx,7,差旅及费用报销制度.docx,1,0.6623445749282837,7,差旅及费用报销制度.docx,0,0.6903340220451355,,,,,True,True,2,ok,,BAAI/bge-small-zh-v1.5,ChromaDB,3,0.8,2026-08-14T16:53:09+08:00
14,客户说设备坏了，我们已经让他做过基础检查但还是不行，客服接下来应该记录什么并交给谁？,12,产品售后服务规范.docx,12,产品售后服务规范.docx,1,0.5786237716674805,13,信息安全管理规范.docx,1,0.7508925795555115,,,,,True,True,2,ok,,BAAI/bge-small-zh-v1.5,ChromaDB,3,0.8,2026-08-14T16:53:09+08:00
15,我要把一份包含客户信息的文件发给外部人员，发送前应该注意哪些安全要求？,13,信息安全管理规范.docx,13,信息安全管理规范.docx,1,0.6686511039733887,13,信息安全管理规范.docx,0,0.7572251558303833,,,,,True,True,2,ok,,BAAI/bge-small-zh-v1.5,ChromaDB,3,0.8,2026-08-14T16:53:09+08:00
