question_id,question,question_type,expected_filename,expected_document_id,expected_result,top_k,original_candidates_count,original_top1_document_id,original_top1_filename,original_top1_chunk_index,original_top1_distance,rerank_top1_document_id,rerank_top1_filename,rerank_top1_chunk_index,rerank_top1_distance,rerank_top1_score,top1_hit,top3_hit,result_count,correct_reject,false_positive,baseline_top1_hit,status,chroma_time_seconds,rerank_time_seconds,total_time_seconds,rerank_model,embedding_model,distance_threshold,evaluated_at
1,员工请假需要提前多久申请年假？,直接问法,员工休假管理制度.docx,11,,3,3,11,员工休假管理制度.docx,0,0.4174606204032898,11,员工休假管理制度.docx,0,0.4174606204032898,0.9802749752998352,1,1,3,,,1,same_correct,0.009483,0.126588,0.136070,BAAI/bge-reranker-base,BAAI/bge-small-zh-v1.5,0.8,2026-08-16T10:07:51+08:00
2,病假超过一天需要提供什么材料？,直接问法,员工休假管理制度.docx,11,,3,3,11,员工休假管理制度.docx,1,0.5901859998703003,11,员工休假管理制度.docx,1,0.5901859998703003,0.9945701956748962,1,1,2,,,1,same_correct,0.010921,0.124542,0.135463,BAAI/bge-reranker-base,BAAI/bge-small-zh-v1.5,0.8,2026-08-16T10:07:51+08:00
3,忘记打卡后最晚多久要申请补卡？,直接问法,员工考勤管理制度.docx,14,,3,3,14,员工考勤管理制度.docx,1,0.6294233798980713,14,员工考勤管理制度.docx,1,0.6294233798980713,0.9917912483215332,1,1,2,,,1,same_correct,0.010117,0.112880,0.122997,BAAI/bge-reranker-base,BAAI/bge-small-zh-v1.5,0.8,2026-08-16T10:07:51+08:00
4,出差回来以后多久内要提交报销？,直接问法,差旅及费用报销制度.docx,7,,3,3,7,差旅及费用报销制度.docx,0,0.5694314241409302,7,差旅及费用报销制度.docx,1,0.5964694023132324,0.9885920882225037,1,1,3,,,1,same_correct,0.011014,0.117763,0.128777,BAAI/bge-reranker-base,BAAI/bge-small-zh-v1.5,0.8,2026-08-16T10:07:51+08:00
5,公司登录密码至少需要多少位？,直接问法,信息安全管理规范.docx,13,,3,3,13,信息安全管理规范.docx,0,0.6225423216819763,13,信息安全管理规范.docx,0,0.6225423216819763,0.8097504377365112,1,1,1,,,1,same_correct,0.008817,0.119170,0.127986,BAAI/bge-reranker-base,BAAI/bge-small-zh-v1.5,0.8,2026-08-16T10:07:51+08:00
6,我想下周一休年假，最迟什么时候要提交申请？,改写问法,员工休假管理制度.docx,11,,3,3,11,员工休假管理制度.docx,0,0.7699342966079712,11,员工休假管理制度.docx,0,0.7699342966079712,0.7778137922286987,1,1,1,,,1,same_correct,0.010286,0.129644,0.139930,BAAI/bge-reranker-base,BAAI/bge-small-zh-v1.5,0.8,2026-08-16T10:07:51+08:00
7,这个月已经迟到三次了，公司会怎么处理？,改写问法,员工考勤管理制度.docx,14,,3,3,14,员工考勤管理制度.docx,1,0.7368632555007935,14,员工考勤管理制度.docx,1,0.7368632555007935,0.9496288299560547,1,1,1,,,1,same_correct,0.010139,0.110807,0.120946,BAAI/bge-reranker-base,BAAI/bge-small-zh-v1.5,0.8,2026-08-16T10:07:51+08:00
8,去上海出差，酒店一晚上最多能报多少？,改写问法,差旅及费用报销制度.docx,7,,3,3,7,差旅及费用报销制度.docx,1,0.6903824210166931,7,差旅及费用报销制度.docx,1,0.6903824210166931,0.8683858513832092,1,1,1,,,1,same_correct,0.010375,0.120476,0.130852,BAAI/bge-reranker-base,BAAI/bge-small-zh-v1.5,0.8,2026-08-16T10:07:51+08:00
9,客户的产品问题处理两次还是没解决，下一步怎么办？,改写问法,产品售后服务规范.docx,12,,3,3,12,产品售后服务规范.docx,1,0.4931122660636902,12,产品售后服务规范.docx,1,0.4931122660636902,0.9935444593429565,1,1,2,,,1,same_correct,0.010006,0.117402,0.127408,BAAI/bge-reranker-base,BAAI/bge-small-zh-v1.5,0.8,2026-08-16T10:07:51+08:00
10,发现自己的公司账号好像被别人登录了，该怎么处理？,改写问法,信息安全管理规范.docx,13,,3,3,13,信息安全管理规范.docx,2,0.6810369491577148,13,信息安全管理规范.docx,1,0.7416949272155762,0.9104697704315186,1,1,3,,,1,same_correct,0.009938,0.125398,0.135336,BAAI/bge-reranker-base,BAAI/bge-small-zh-v1.5,0.8,2026-08-16T10:07:51+08:00
11,我今天早上忘打卡了，现在已经过去一天了，还能补吗？需要谁审批？,口语长问法,员工考勤管理制度.docx,14,,3,3,14,员工考勤管理制度.docx,1,0.6551393270492554,14,员工考勤管理制度.docx,1,0.6551393270492554,0.9859273433685303,1,1,1,,,1,same_correct,0.010620,0.129570,0.140190,BAAI/bge-reranker-base,BAAI/bge-small-zh-v1.5,0.8,2026-08-16T10:07:51+08:00
