question_id,question,expected_document_id,expected_filename,question_type
1,员工请假需要提前多久申请年假？,,员工休假管理制度.docx,直接问法
2,病假超过一天需要提供什么材料？,,员工休假管理制度.docx,直接问法
3,忘记打卡后最晚多久要申请补卡？,,员工考勤管理制度.docx,直接问法
4,出差回来以后多久内要提交报销？,,差旅及费用报销制度.docx,直接问法
5,公司登录密码至少需要多少位？,,信息安全管理规范.docx,直接问法
6,我想下周一休年假，最迟什么时候要提交申请？,,员工休假管理制度.docx,改写问法
7,这个月已经迟到三次了，公司会怎么处理？,,员工考勤管理制度.docx,改写问法
8,去上海出差，酒店一晚上最多能报多少？,,差旅及费用报销制度.docx,改写问法
9,客户的产品问题处理两次还是没解决，下一步怎么办？,,产品售后服务规范.docx,改写问法
10,发现自己的公司账号好像被别人登录了，该怎么处理？,,信息安全管理规范.docx,改写问法
11,我今天早上忘打卡了，现在已经过去一天了，还能补吗？需要谁审批？,,员工考勤管理制度.docx,口语长问法
12,家里突然有急事，明天不能来上班，但来不及提前一天请事假，这种情况怎么办？,,员工休假管理制度.docx,口语长问法
13,我刚出差回来，手里有发票和订单记录，报销的时候还需要注意什么时间要求？,,差旅及费用报销制度.docx,口语长问法
14,客户说设备坏了，我们已经让他做过基础检查但还是不行，客服接下来应该记录什么并交给谁？,,产品售后服务规范.docx,口语长问法
15,我要把一份包含客户信息的文件发给外部人员，发送前应该注意哪些安全要求？,,信息安全管理规范.docx,口语长问法
16,事假原则上需要提前几个工作日申请？,,员工休假管理制度.docx,直接问法
17,连续缺勤超过4小时且没有请假会怎么处理？,,员工考勤管理制度.docx,直接问法
18,其他城市出差住宿每晚原则上最多报销多少元？,,差旅及费用报销制度.docx,直接问法
19,一般售后问题要求在多长时间内首次响应？,,产品售后服务规范.docx,直接问法
20,公司登录密码需要包含哪些类型的字符？,,信息安全管理规范.docx,直接问法
21,如果一次休假超过5个工作日，除了直属负责人还需要谁确认？,,员工休假管理制度.docx,改写问法
22,月度考勤结果有问题，员工应该在几天内提出复核？,,员工考勤管理制度.docx,改写问法
23,因为工作需要想坐更高等级的交通工具，应该提前经过谁同意？,,差旅及费用报销制度.docx,改写问法
24,客户申请退换货时，客服需要检查商品哪些方面？,,产品售后服务规范.docx,改写问法
25,离开工位时，公司电脑应该怎么处理？,,信息安全管理规范.docx,改写问法
26,我想一次休四天年假，除了提前申请之外，工作交接方面还要做什么？,,员工休假管理制度.docx,口语长问法
27,我这个月忘记打卡好几次了，补卡有没有次数限制？,,员工考勤管理制度.docx,口语长问法
28,我去外地出差还没走审批流程，回来以后这些费用公司还能正常给我报吗？,,差旅及费用报销制度.docx,口语长问法
29,客户刚来问售后，我是不是直接处理问题就行，还是要先确认一些客户和产品信息？,,产品售后服务规范.docx,口语长问法
30,我手上有一份客户资料，想图方便传到自己的个人网盘里，可以这样做吗？,,信息安全管理规范.docx,口语长问法
31,员工没办请假手续就没来上班，这种情况应该按照休假制度还是考勤制度处理？,,员工休假管理制度.docx,易混淆问法
32,已经批准的休假和公司的考勤记录之间需要怎么处理？,,员工休假管理制度.docx,易混淆问法
33,公共交通大面积延误导致迟到，当天应该做什么？,,员工考勤管理制度.docx,易混淆问法
34,连续一整天没来公司，而且没有办理请假手续，会如何认定？,,员工考勤管理制度.docx,易混淆问法
35,一线城市酒店住了600元一晚，但事先没有审批，超出的部分由谁承担？,,差旅及费用报销制度.docx,易混淆问法
36,报销申请中，业务真实性和票据金额分别由谁审核？,,差旅及费用报销制度.docx,易混淆问法
37,客户的问题什么时候不能继续按普通售后流程处理，而要升级给负责人？,,产品售后服务规范.docx,易混淆问法
38,售后问题处理完成以后，为什么还需要留下处理记录，具体要记录哪些内容？,,产品售后服务规范.docx,易混淆问法
39,公司电脑能不能插一个来路不明的U盘？如果确实需要使用应该先做什么？,,信息安全管理规范.docx,易混淆问法
40,员工离职时能不能自己留一份以前工作中使用过的公司敏感资料？,,信息安全管理规范.docx,易混淆问法
41,临时有急事没法按正常流程提前请假，但我已经及时联系了领导，之后还需要补什么手续？,,员工休假管理制度.docx,高难度语义
42,休息时间比较长时，审批人会不会和普通请假不一样？,,员工休假管理制度.docx,高难度语义
43,考勤出现异常不是因为请假，而是单纯忘了操作打卡，我应该走什么补救流程？,,员工考勤管理制度.docx,高难度语义
44,我发现公司统计的上个月出勤情况和实际不一致，这件事有没有处理期限？,,员工考勤管理制度.docx,高难度语义
45,出差花的钱不是只拿发票就能报，我还应该准备哪些能证明这笔消费的资料？,,差旅及费用报销制度.docx,高难度语义
46,出差时为了业务临时想提高交通标准，怎样做才能避免这部分费用最后由自己承担？,,差旅及费用报销制度.docx,高难度语义
47,一个售后故障靠客服常规排查解决不了，怎样把问题完整地交接给技术人员？,,产品售后服务规范.docx,高难度语义
48,客户的问题反复处理仍然没有结果，这时候客服是否还应该继续按原来的方式处理？,,产品售后服务规范.docx,高难度语义
49,如果怀疑电脑中了病毒，继续操作可能扩大风险，这时员工第一步应该做什么并向谁反馈？,,信息安全管理规范.docx,高难度语义
50,准备把带有客户信息的资料发到公司外部时，不能只看文件内容，还需要先核实什么？,,信息安全管理规范.docx,高难度语义
