question,expected_document_id,expected_filename
员工请假需要提前多久申请年假？,11,员工休假管理制度.docx
病假超过一天需要提供什么材料？,11,员工休假管理制度.docx
忘记打卡后最晚多久要申请补卡？,14,员工考勤管理制度.docx
出差回来以后多久内要提交报销？,7,差旅及费用报销制度.docx
公司登录密码至少需要多少位？,13,信息安全管理规范.docx
我想下周一休年假，最迟什么时候要提交申请？,11,员工休假管理制度.docx
这个月已经迟到三次了，公司会怎么处理？,14,员工考勤管理制度.docx
去上海出差，酒店一晚上最多能报多少？,7,差旅及费用报销制度.docx
客户的产品问题处理两次还是没解决，下一步怎么办？,12,产品售后服务规范.docx
发现自己的公司账号好像被别人登录了，该怎么处理？,13,信息安全管理规范.docx
我今天早上忘打卡了，现在已经过去一天了，还能补吗？需要谁审批？,14,员工考勤管理制度.docx
家里突然有急事，明天不能来上班，但来不及提前一天请事假，这种情况怎么办？,11,员工休假管理制度.docx
我刚出差回来，手里有发票和订单记录，报销的时候还需要注意什么时间要求？,7,差旅及费用报销制度.docx
客户说设备坏了，我们已经让他做过基础检查但还是不行，客服接下来应该记录什么并交给谁？,12,产品售后服务规范.docx
我要把一份包含客户信息的文件发给外部人员，发送前应该注意哪些安全要求？,13,信息安全管理规范.docx
