threshold,question_id,question,question_type,expected_document_id,expected_filename,top1_document_id,top1_filename,top1_chunk_index,top1_distance,top2_document_id,top2_filename,top2_chunk_index,top2_distance,top3_document_id,top3_filename,top3_chunk_index,top3_distance,result_count,top1_hit,top3_hit,evaluated_at
0.80,1,员工请假需要提前多久申请年假？,直接问法,11,员工休假管理制度.docx,11,员工休假管理制度.docx,0,0.41746068000793457,14,员工考勤管理制度.docx,2,0.6604986786842346,11,员工休假管理制度.docx,1,0.7761408090591431,3,1,1,2026-08-15T21:45:26+08:00
0.80,2,病假超过一天需要提供什么材料？,直接问法,11,员工休假管理制度.docx,11,员工休假管理制度.docx,1,0.5901859402656555,11,员工休假管理制度.docx,0,0.7482599020004272,,,,,2,1,1,2026-08-15T21:45:26+08:00
0.80,3,忘记打卡后最晚多久要申请补卡？,直接问法,14,员工考勤管理制度.docx,14,员工考勤管理制度.docx,1,0.6294235587120056,14,员工考勤管理制度.docx,2,0.7653934359550476,,,,,2,1,1,2026-08-15T21:45:26+08:00
0.80,4,出差回来以后多久内要提交报销？,直接问法,7,差旅及费用报销制度.docx,7,差旅及费用报销制度.docx,0,0.5694314241409302,7,差旅及费用报销制度.docx,1,0.5964692831039429,14,员工考勤管理制度.docx,1,0.7083536982536316,3,1,1,2026-08-15T21:45:26+08:00
0.80,5,公司登录密码至少需要多少位？,直接问法,13,信息安全管理规范.docx,13,信息安全管理规范.docx,0,0.6225423216819763,,,,,,,,,1,1,1,2026-08-15T21:45:26+08:00
0.80,6,我想下周一休年假，最迟什么时候要提交申请？,改写问法,11,员工休假管理制度.docx,11,员工休假管理制度.docx,0,0.7699342966079712,,,,,,,,,1,1,1,2026-08-15T21:45:26+08:00
0.80,7,这个月已经迟到三次了，公司会怎么处理？,改写问法,14,员工考勤管理制度.docx,14,员工考勤管理制度.docx,1,0.7368632555007935,,,,,,,,,1,1,1,2026-08-15T21:45:26+08:00
0.80,8,去上海出差，酒店一晚上最多能报多少？,改写问法,7,差旅及费用报销制度.docx,7,差旅及费用报销制度.docx,1,0.6903824210166931,,,,,,,,,1,1,1,2026-08-15T21:45:26+08:00
0.80,9,客户的产品问题处理两次还是没解决，下一步怎么办？,改写问法,12,产品售后服务规范.docx,12,产品售后服务规范.docx,1,0.4931122660636902,12,产品售后服务规范.docx,0,0.6602028012275696,,,,,2,1,1,2026-08-15T21:45:26+08:00
0.80,10,发现自己的公司账号好像被别人登录了，该怎么处理？,改写问法,13,信息安全管理规范.docx,13,信息安全管理规范.docx,2,0.6810369491577148,13,信息安全管理规范.docx,1,0.7416950464248657,13,信息安全管理规范.docx,0,0.7435241937637329,3,1,1,2026-08-15T21:45:26+08:00
0.80,11,我今天早上忘打卡了，现在已经过去一天了，还能补吗？需要谁审批？,口语长问法,14,员工考勤管理制度.docx,14,员工考勤管理制度.docx,1,0.6551393270492554,,,,,,,,,1,1,1,2026-08-15T21:45:26+08:00
