question_id,question,question_type,expected_document_id,expected_filename,top1_document_id,top1_filename,top1_chunk_index,top1_distance,top2_document_id,top2_filename,top2_chunk_index,top2_distance,top3_document_id,top3_filename,top3_chunk_index,top3_distance,top1_hit,top3_hit,result_count,status,error_type,embedding_model,vector_database,top_k,distance_threshold,evaluated_at
1,员工请假需要提前多久申请年假？,直接问法,11,员工休假管理制度.docx,11,员工休假管理制度.docx,0,0.4174606204032898,14,员工考勤管理制度.docx,2,0.6604984998703003,11,员工休假管理制度.docx,1,0.7761408090591431,1,1,3,ok,,BAAI/bge-small-zh-v1.5,ChromaDB,3,0.8,2026-08-15T16:39:28+08:00
2,病假超过一天需要提供什么材料？,直接问法,11,员工休假管理制度.docx,11,员工休假管理制度.docx,1,0.5901859998703003,11,员工休假管理制度.docx,0,0.7482597827911377,,,,,1,1,2,ok,,BAAI/bge-small-zh-v1.5,ChromaDB,3,0.8,2026-08-15T16:39:28+08:00
3,忘记打卡后最晚多久要申请补卡？,直接问法,14,员工考勤管理制度.docx,14,员工考勤管理制度.docx,1,0.6294233798980713,14,员工考勤管理制度.docx,2,0.7653934359550476,,,,,1,1,2,ok,,BAAI/bge-small-zh-v1.5,ChromaDB,3,0.8,2026-08-15T16:39:28+08:00
4,出差回来以后多久内要提交报销？,直接问法,7,差旅及费用报销制度.docx,7,差旅及费用报销制度.docx,0,0.5694314241409302,7,差旅及费用报销制度.docx,1,0.5964694023132324,14,员工考勤管理制度.docx,1,0.7083538770675659,1,1,3,ok,,BAAI/bge-small-zh-v1.5,ChromaDB,3,0.8,2026-08-15T16:39:28+08:00
5,公司登录密码至少需要多少位？,直接问法,13,信息安全管理规范.docx,13,信息安全管理规范.docx,0,0.6225423216819763,,,,,,,,,1,1,1,ok,,BAAI/bge-small-zh-v1.5,ChromaDB,3,0.8,2026-08-15T16:39:28+08:00
6,我想下周一休年假，最迟什么时候要提交申请？,改写问法,11,员工休假管理制度.docx,11,员工休假管理制度.docx,0,0.7699342966079712,,,,,,,,,1,1,1,ok,,BAAI/bge-small-zh-v1.5,ChromaDB,3,0.8,2026-08-15T16:39:28+08:00
7,这个月已经迟到三次了，公司会怎么处理？,改写问法,14,员工考勤管理制度.docx,14,员工考勤管理制度.docx,1,0.7368632555007935,,,,,,,,,1,1,1,ok,,BAAI/bge-small-zh-v1.5,ChromaDB,3,0.8,2026-08-15T16:39:28+08:00
8,去上海出差，酒店一晚上最多能报多少？,改写问法,7,差旅及费用报销制度.docx,7,差旅及费用报销制度.docx,1,0.6903824210166931,,,,,,,,,1,1,1,ok,,BAAI/bge-small-zh-v1.5,ChromaDB,3,0.8,2026-08-15T16:39:28+08:00
9,客户的产品问题处理两次还是没解决，下一步怎么办？,改写问法,12,产品售后服务规范.docx,12,产品售后服务规范.docx,1,0.4931122660636902,12,产品售后服务规范.docx,0,0.66020268201828,,,,,1,1,2,ok,,BAAI/bge-small-zh-v1.5,ChromaDB,3,0.8,2026-08-15T16:39:28+08:00
10,发现自己的公司账号好像被别人登录了，该怎么处理？,改写问法,13,信息安全管理规范.docx,13,信息安全管理规范.docx,2,0.6810369491577148,13,信息安全管理规范.docx,1,0.7416949272155762,13,信息安全管理规范.docx,0,0.7435240149497986,1,1,3,ok,,BAAI/bge-small-zh-v1.5,ChromaDB,3,0.8,2026-08-15T16:39:28+08:00
11,我今天早上忘打卡了，现在已经过去一天了，还能补吗？需要谁审批？,口语长问法,14,员工考勤管理制度.docx,14,员工考勤管理制度.docx,1,0.6551393270492554,,,,,,,,,1,1,1,ok,,BAAI/bge-small-zh-v1.5,ChromaDB,3,0.8,2026-08-15T16:39:28+08:00
12,家里突然有急事，明天不能来上班，但来不及提前一天请事假，这种情况怎么办？,口语长问法,11,员工休假管理制度.docx,14,员工考勤管理制度.docx,2,0.7499402165412903,11,员工休假管理制度.docx,0,0.7812633514404297,,,,,0,1,2,ok,,BAAI/bge-small-zh-v1.5,ChromaDB,3,0.8,2026-08-15T16:39:28+08:00
13,我刚出差回来，手里有发票和订单记录，报销的时候还需要注意什么时间要求？,口语长问法,7,差旅及费用报销制度.docx,7,差旅及费用报销制度.docx,1,0.6623445749282837,7,差旅及费用报销制度.docx,0,0.6903340220451355,,,,,1,1,2,ok,,BAAI/bge-small-zh-v1.5,ChromaDB,3,0.8,2026-08-15T16:39:28+08:00
14,客户说设备坏了，我们已经让他做过基础检查但还是不行，客服接下来应该记录什么并交给谁？,口语长问法,12,产品售后服务规范.docx,12,产品售后服务规范.docx,1,0.5786237716674805,13,信息安全管理规范.docx,1,0.7508925795555115,,,,,1,1,2,ok,,BAAI/bge-small-zh-v1.5,ChromaDB,3,0.8,2026-08-15T16:39:28+08:00
15,我要把一份包含客户信息的文件发给外部人员，发送前应该注意哪些安全要求？,口语长问法,13,信息安全管理规范.docx,13,信息安全管理规范.docx,1,0.6686511039733887,13,信息安全管理规范.docx,0,0.7572251558303833,,,,,1,1,2,ok,,BAAI/bge-small-zh-v1.5,ChromaDB,3,0.8,2026-08-15T16:39:28+08:00
16,事假原则上需要提前几个工作日申请？,直接问法,11,员工休假管理制度.docx,11,员工休假管理制度.docx,0,0.5369892120361328,14,员工考勤管理制度.docx,2,0.6572173237800598,11,员工休假管理制度.docx,1,0.6684080958366394,1,1,3,ok,,BAAI/bge-small-zh-v1.5,ChromaDB,3,0.8,2026-08-15T16:39:28+08:00
17,连续缺勤超过4小时且没有请假会怎么处理？,直接问法,14,员工考勤管理制度.docx,14,员工考勤管理制度.docx,2,0.3792099356651306,14,员工考勤管理制度.docx,1,0.6854965090751648,11,员工休假管理制度.docx,1,0.7891857028007507,1,1,3,ok,,BAAI/bge-small-zh-v1.5,ChromaDB,3,0.8,2026-08-15T16:39:28+08:00
18,其他城市出差住宿每晚原则上最多报销多少元？,直接问法,7,差旅及费用报销制度.docx,7,差旅及费用报销制度.docx,1,0.3925290107727051,7,差旅及费用报销制度.docx,0,0.5784639120101929,,,,,1,1,2,ok,,BAAI/bge-small-zh-v1.5,ChromaDB,3,0.8,2026-08-15T16:39:28+08:00
19,一般售后问题要求在多长时间内首次响应？,直接问法,12,产品售后服务规范.docx,12,产品售后服务规范.docx,0,0.5347299575805664,12,产品售后服务规范.docx,1,0.717711329460144,,,,,1,1,2,ok,,BAAI/bge-small-zh-v1.5,ChromaDB,3,0.8,2026-08-15T16:39:28+08:00
20,公司登录密码需要包含哪些类型的字符？,直接问法,13,信息安全管理规范.docx,13,信息安全管理规范.docx,0,0.6735951900482178,,,,,,,,,1,1,1,ok,,BAAI/bge-small-zh-v1.5,ChromaDB,3,0.8,2026-08-15T16:39:28+08:00
21,如果一次休假超过5个工作日，除了直属负责人还需要谁确认？,改写问法,11,员工休假管理制度.docx,11,员工休假管理制度.docx,1,0.6635714769363403,11,员工休假管理制度.docx,0,0.7084364295005798,14,员工考勤管理制度.docx,2,0.7697335481643677,1,1,3,ok,,BAAI/bge-small-zh-v1.5,ChromaDB,3,0.8,2026-08-15T16:39:28+08:00
22,月度考勤结果有问题，员工应该在几天内提出复核？,改写问法,14,员工考勤管理制度.docx,14,员工考勤管理制度.docx,2,0.39862561225891113,14,员工考勤管理制度.docx,1,0.6081323623657227,14,员工考勤管理制度.docx,0,0.6362317800521851,1,1,3,ok,,BAAI/bge-small-zh-v1.5,ChromaDB,3,0.8,2026-08-15T16:39:28+08:00
